NAME;ZONE
nvidia-a100-80gb;us-central1
nvidia-a100-80gb;us-east7
nvidia-tesla-a100;asia-northeast1
nvidia-tesla-a100;asia-northeast3
nvidia-tesla-a100;asia-southeast1
nvidia-tesla-a100;europe-west4
nvidia-tesla-a100;us-central1
nvidia-tesla-a100;us-east1
nvidia-tesla-a100;us-west1
nvidia-tesla-a100;us-west4
nvidia-tesla-k80;asia-east1
nvidia-tesla-k80;europe-west1
nvidia-tesla-k80;us-central1
nvidia-tesla-k80;us-east1
nvidia-tesla-k80;us-west1
nvidia-tesla-p100-vws;asia-east1
nvidia-tesla-p100-vws;australia-southeast1
nvidia-tesla-p100-vws;europe-west1
nvidia-tesla-p100-vws;europe-west4
nvidia-tesla-p100-vws;us-central1
nvidia-tesla-p100-vws;us-east1
nvidia-tesla-p100-vws;us-west1
nvidia-tesla-p100;asia-east1
nvidia-tesla-p100;australia-southeast1
nvidia-tesla-p100;europe-west1
nvidia-tesla-p100;europe-west4
nvidia-tesla-p100;us-central1
nvidia-tesla-p100;us-east1
nvidia-tesla-p100;us-west1
nvidia-tesla-p4-vws;asia-southeast1
nvidia-tesla-p4-vws;australia-southeast1
nvidia-tesla-p4-vws;europe-west4
nvidia-tesla-p4-vws;northamerica-northeast1
nvidia-tesla-p4-vws;us-central1
nvidia-tesla-p4-vws;us-east1
nvidia-tesla-p4-vws;us-east4
nvidia-tesla-p4-vws;us-west2
nvidia-tesla-p4;asia-southeast1
nvidia-tesla-p4;australia-southeast1
nvidia-tesla-p4;europe-west4
nvidia-tesla-p4;northamerica-northeast1
nvidia-tesla-p4;us-central1
nvidia-tesla-p4;us-east1
nvidia-tesla-p4;us-east4
nvidia-tesla-p4;us-west2
nvidia-tesla-t4-vws;asia-east1
nvidia-tesla-t4-vws;asia-northeast1
nvidia-tesla-t4-vws;asia-northeast3
nvidia-tesla-t4-vws;asia-south1
nvidia-tesla-t4-vws;asia-southeast1
nvidia-tesla-t4-vws;asia-southeast2
nvidia-tesla-t4-vws;australia-southeast1
nvidia-tesla-t4-vws;europe-west1
nvidia-tesla-t4-vws;europe-west2
nvidia-tesla-t4-vws;europe-west3
nvidia-tesla-t4-vws;europe-west4
nvidia-tesla-t4-vws;me-west1
nvidia-tesla-t4-vws;northamerica-northeast1
nvidia-tesla-t4-vws;southamerica-east1
nvidia-tesla-t4-vws;us-central1
nvidia-tesla-t4-vws;us-east1
nvidia-tesla-t4-vws;us-east4
nvidia-tesla-t4-vws;us-west1
nvidia-tesla-t4-vws;us-west2
nvidia-tesla-t4-vws;us-west4
nvidia-tesla-t4;asia-east1
nvidia-tesla-t4;asia-northeast1
nvidia-tesla-t4;asia-northeast3
nvidia-tesla-t4;asia-south1
nvidia-tesla-t4;asia-southeast1
nvidia-tesla-t4;asia-southeast2
nvidia-tesla-t4;australia-southeast1
nvidia-tesla-t4;europe-west1
nvidia-tesla-t4;europe-west2
nvidia-tesla-t4;europe-west3
nvidia-tesla-t4;europe-west4
nvidia-tesla-t4;me-west1
nvidia-tesla-t4;northamerica-northeast1
nvidia-tesla-t4;southamerica-east1
nvidia-tesla-t4;us-central1
nvidia-tesla-t4;us-east1
nvidia-tesla-t4;us-east4
nvidia-tesla-t4;us-west1
nvidia-tesla-t4;us-west2
nvidia-tesla-t4;us-west4
nvidia-tesla-v100;asia-east1
nvidia-tesla-v100;europe-west4
nvidia-tesla-v100;us-central1
nvidia-tesla-v100;us-east1
nvidia-tesla-v100;us-west1
