NAME;ZONE
nvidia-a100-80gb;us-central1-a
nvidia-a100-80gb;us-central1-c
nvidia-a100-80gb;us-east4-c
nvidia-a100-80gb;us-east5-b
nvidia-a100-80gb;us-east7-a
nvidia-tesla-a100;asia-northeast1-a
nvidia-tesla-a100;asia-northeast1-c
nvidia-tesla-a100;asia-northeast3-a
nvidia-tesla-a100;asia-northeast3-b
nvidia-tesla-a100;asia-southeast1-b
nvidia-tesla-a100;asia-southeast1-c
nvidia-tesla-a100;europe-west4-a
nvidia-tesla-a100;europe-west4-b
nvidia-tesla-a100;us-central1-a
nvidia-tesla-a100;us-central1-b
nvidia-tesla-a100;us-central1-c
nvidia-tesla-a100;us-central1-f
nvidia-tesla-a100;us-east1-a
nvidia-tesla-a100;us-east1-b
nvidia-tesla-a100;us-west1-b
nvidia-tesla-a100;us-west3-b
nvidia-tesla-a100;us-west4-b
nvidia-tesla-k80;asia-east1-a
nvidia-tesla-k80;asia-east1-b
nvidia-tesla-k80;europe-west1-b
nvidia-tesla-k80;europe-west1-d
nvidia-tesla-k80;us-central1-a
nvidia-tesla-k80;us-central1-c
nvidia-tesla-k80;us-east1-a
nvidia-tesla-k80;us-east1-c
nvidia-tesla-k80;us-east1-d
nvidia-tesla-k80;us-west1-b
nvidia-tesla-p100-vws;asia-east1-a
nvidia-tesla-p100-vws;asia-east1-c
nvidia-tesla-p100-vws;australia-southeast1-c
nvidia-tesla-p100-vws;europe-west1-b
nvidia-tesla-p100-vws;europe-west1-d
nvidia-tesla-p100-vws;europe-west4-a
nvidia-tesla-p100-vws;us-central1-c
nvidia-tesla-p100-vws;us-central1-f
nvidia-tesla-p100-vws;us-east1-a
nvidia-tesla-p100-vws;us-east1-b
nvidia-tesla-p100-vws;us-east1-c
nvidia-tesla-p100-vws;us-west1-a
nvidia-tesla-p100-vws;us-west1-b
nvidia-tesla-p100;asia-east1-a
nvidia-tesla-p100;asia-east1-c
nvidia-tesla-p100;australia-southeast1-c
nvidia-tesla-p100;europe-west1-b
nvidia-tesla-p100;europe-west1-d
nvidia-tesla-p100;europe-west4-a
nvidia-tesla-p100;us-central1-c
nvidia-tesla-p100;us-central1-f
nvidia-tesla-p100;us-east1-a
nvidia-tesla-p100;us-east1-b
nvidia-tesla-p100;us-east1-c
nvidia-tesla-p100;us-west1-a
nvidia-tesla-p100;us-west1-b
nvidia-tesla-p4-vws;asia-southeast1-b
nvidia-tesla-p4-vws;asia-southeast1-c
nvidia-tesla-p4-vws;australia-southeast1-a
nvidia-tesla-p4-vws;australia-southeast1-b
nvidia-tesla-p4-vws;europe-west4-b
nvidia-tesla-p4-vws;europe-west4-c
nvidia-tesla-p4-vws;northamerica-northeast1-a
nvidia-tesla-p4-vws;northamerica-northeast1-b
nvidia-tesla-p4-vws;northamerica-northeast1-c
nvidia-tesla-p4-vws;us-central1-a
nvidia-tesla-p4-vws;us-central1-c
nvidia-tesla-p4-vws;us-east1-a
nvidia-tesla-p4-vws;us-east4-a
nvidia-tesla-p4-vws;us-east4-b
nvidia-tesla-p4-vws;us-east4-c
nvidia-tesla-p4-vws;us-west2-b
nvidia-tesla-p4-vws;us-west2-c
nvidia-tesla-p4;asia-southeast1-b
nvidia-tesla-p4;asia-southeast1-c
nvidia-tesla-p4;australia-southeast1-a
nvidia-tesla-p4;australia-southeast1-b
nvidia-tesla-p4;europe-west4-b
nvidia-tesla-p4;europe-west4-c
nvidia-tesla-p4;northamerica-northeast1-a
nvidia-tesla-p4;northamerica-northeast1-b
nvidia-tesla-p4;northamerica-northeast1-c
nvidia-tesla-p4;us-central1-a
nvidia-tesla-p4;us-central1-c
nvidia-tesla-p4;us-east1-a
nvidia-tesla-p4;us-east4-a
nvidia-tesla-p4;us-east4-b
nvidia-tesla-p4;us-east4-c
nvidia-tesla-p4;us-west2-b
nvidia-tesla-p4;us-west2-c
nvidia-tesla-t4-vws;asia-east1-a
nvidia-tesla-t4-vws;asia-east1-c
nvidia-tesla-t4-vws;asia-east2-a
nvidia-tesla-t4-vws;asia-east2-c
nvidia-tesla-t4-vws;asia-northeast1-a
nvidia-tesla-t4-vws;asia-northeast1-c
nvidia-tesla-t4-vws;asia-northeast3-b
nvidia-tesla-t4-vws;asia-northeast3-c
nvidia-tesla-t4-vws;asia-south1-a
nvidia-tesla-t4-vws;asia-south1-b
nvidia-tesla-t4-vws;asia-south1-c
nvidia-tesla-t4-vws;asia-southeast1-a
nvidia-tesla-t4-vws;asia-southeast1-b
nvidia-tesla-t4-vws;asia-southeast1-c
nvidia-tesla-t4-vws;asia-southeast2-a
nvidia-tesla-t4-vws;asia-southeast2-b
nvidia-tesla-t4-vws;australia-southeast1-a
nvidia-tesla-t4-vws;australia-southeast1-c
nvidia-tesla-t4-vws;europe-central2-b
nvidia-tesla-t4-vws;europe-central2-c
nvidia-tesla-t4-vws;europe-west1-b
nvidia-tesla-t4-vws;europe-west1-c
nvidia-tesla-t4-vws;europe-west1-d
nvidia-tesla-t4-vws;europe-west2-a
nvidia-tesla-t4-vws;europe-west2-b
nvidia-tesla-t4-vws;europe-west3-b
nvidia-tesla-t4-vws;europe-west4-a
nvidia-tesla-t4-vws;europe-west4-b
nvidia-tesla-t4-vws;europe-west4-c
nvidia-tesla-t4-vws;me-west1-b
nvidia-tesla-t4-vws;me-west1-c
nvidia-tesla-t4-vws;northamerica-northeast1-c
nvidia-tesla-t4-vws;southamerica-east1-a
nvidia-tesla-t4-vws;southamerica-east1-c
nvidia-tesla-t4-vws;us-central1-a
nvidia-tesla-t4-vws;us-central1-b
nvidia-tesla-t4-vws;us-central1-c
nvidia-tesla-t4-vws;us-central1-f
nvidia-tesla-t4-vws;us-east1-a
nvidia-tesla-t4-vws;us-east1-c
nvidia-tesla-t4-vws;us-east1-d
nvidia-tesla-t4-vws;us-east4-a
nvidia-tesla-t4-vws;us-east4-b
nvidia-tesla-t4-vws;us-east4-c
nvidia-tesla-t4-vws;us-west1-a
nvidia-tesla-t4-vws;us-west1-b
nvidia-tesla-t4-vws;us-west2-b
nvidia-tesla-t4-vws;us-west2-c
nvidia-tesla-t4-vws;us-west3-b
nvidia-tesla-t4-vws;us-west4-a
nvidia-tesla-t4-vws;us-west4-b
nvidia-tesla-t4;asia-east1-a
nvidia-tesla-t4;asia-east1-c
nvidia-tesla-t4;asia-east2-a
nvidia-tesla-t4;asia-east2-c
nvidia-tesla-t4;asia-northeast1-a
nvidia-tesla-t4;asia-northeast1-c
nvidia-tesla-t4;asia-northeast3-b
nvidia-tesla-t4;asia-northeast3-c
nvidia-tesla-t4;asia-south1-a
nvidia-tesla-t4;asia-south1-b
nvidia-tesla-t4;asia-south1-c
nvidia-tesla-t4;asia-southeast1-a
nvidia-tesla-t4;asia-southeast1-b
nvidia-tesla-t4;asia-southeast1-c
nvidia-tesla-t4;asia-southeast2-a
nvidia-tesla-t4;asia-southeast2-b
nvidia-tesla-t4;australia-southeast1-a
nvidia-tesla-t4;australia-southeast1-c
nvidia-tesla-t4;europe-central2-b
nvidia-tesla-t4;europe-central2-c
nvidia-tesla-t4;europe-west1-b
nvidia-tesla-t4;europe-west1-c
nvidia-tesla-t4;europe-west1-d
nvidia-tesla-t4;europe-west2-a
nvidia-tesla-t4;europe-west2-b
nvidia-tesla-t4;europe-west3-b
nvidia-tesla-t4;europe-west4-a
nvidia-tesla-t4;europe-west4-b
nvidia-tesla-t4;europe-west4-c
nvidia-tesla-t4;me-west1-b
nvidia-tesla-t4;me-west1-c
nvidia-tesla-t4;northamerica-northeast1-c
nvidia-tesla-t4;southamerica-east1-a
nvidia-tesla-t4;southamerica-east1-c
nvidia-tesla-t4;us-central1-a
nvidia-tesla-t4;us-central1-b
nvidia-tesla-t4;us-central1-c
nvidia-tesla-t4;us-central1-f
nvidia-tesla-t4;us-east1-a
nvidia-tesla-t4;us-east1-c
nvidia-tesla-t4;us-east1-d
nvidia-tesla-t4;us-east4-a
nvidia-tesla-t4;us-east4-b
nvidia-tesla-t4;us-east4-c
nvidia-tesla-t4;us-west1-a
nvidia-tesla-t4;us-west1-b
nvidia-tesla-t4;us-west2-b
nvidia-tesla-t4;us-west2-c
nvidia-tesla-t4;us-west3-b
nvidia-tesla-t4;us-west4-a
nvidia-tesla-t4;us-west4-b
nvidia-tesla-v100;asia-east1-c
nvidia-tesla-v100;europe-west4-a
nvidia-tesla-v100;europe-west4-b
nvidia-tesla-v100;europe-west4-c
nvidia-tesla-v100;us-central1-a
nvidia-tesla-v100;us-central1-b
nvidia-tesla-v100;us-central1-c
nvidia-tesla-v100;us-central1-f
nvidia-tesla-v100;us-east1-a
nvidia-tesla-v100;us-east1-c
nvidia-tesla-v100;us-west1-a
nvidia-tesla-v100;us-west1-b
