NAME;DESCRIPTION;DISK_SIZE_GB;PROJECT;FAMILY;ARCHITECTURE;CREATION;DEPRECATED;STATUS
centos-7-v20230809;CentOS, CentOS, 7, x86_64 built on 20230809;20;centos-cloud;centos-7;X86_64;2023-08-09T17:05:18.940-07:00;;READY
centos-stream-8-v20230809;CentOS, CentOS, Stream 8, x86_64 built on 20230809;20;centos-cloud;centos-stream-8;X86_64;2023-08-09T17:05:19.235-07:00;;READY
centos-stream-9-v20230809;CentOS, CentOS, Stream 9, x86_64 built on 20230809;20;centos-cloud;centos-stream-9;X86_64;2023-08-09T17:05:19.228-07:00;;READY
cos-101-17162-279-6;Google, Container-Optimized OS, 101-17162.279.6 LTS, Kernel: COS-5.15.120 Kubernetes: 1.23.10 Docker: 20.10.24 Family: cos-101-lts;10;cos-cloud;cos-101-lts;X86_64;2023-08-07T14:35:39.702-07:00;;READY
cos-105-17412-156-5;Google, Container-Optimized OS, 105-17412.156.5 LTS, Kernel: COS-5.15.120 Kubernetes: 1.25.5 Docker: 23.0.3 Family: cos-105-lts;10;cos-cloud;cos-105-lts;X86_64;2023-08-01T17:28:42.394-07:00;;READY
cos-93-16623-461-1;Google, Container-Optimized OS, 93-16623.461.1 LTS, Kernel: COS-5.10.186 Kubernetes: 1.21.14 Docker: 20.10.24 Family: cos-93-lts;10;cos-cloud;cos-93-lts;X86_64;2023-08-07T14:35:32.405-07:00;;READY
cos-97-16919-353-4;Google, Container-Optimized OS, 97-16919.353.4 LTS, Kernel: COS-5.10.186 Kubernetes: 1.23.10 Docker: 20.10.24 Family: cos-97-lts;10;cos-cloud;cos-97-lts;X86_64;2023-07-25T11:31:19.595-07:00;;READY
cos-arm64-101-17162-279-6;Google, Container-Optimized OS, 101-17162.279.6 LTS, Kernel: COS-5.15.120 Kubernetes: 1.23.10 Docker: 20.10.24 Family: cos-arm64-101-lts;10;cos-cloud;cos-arm64-101-lts;ARM64;2023-08-07T14:35:38.807-07:00;;READY
cos-arm64-105-17412-156-5;Google, Container-Optimized OS, 105-17412.156.5 LTS, Kernel: COS-5.15.120 Kubernetes: 1.25.5 Docker: 23.0.3 Family: cos-arm64-105-lts;10;cos-cloud;cos-arm64-105-lts;ARM64;2023-08-01T17:29:04.078-07:00;;READY
debian-10-buster-v20230809;Debian, Debian GNU/Linux, 10 (buster), amd64 built on 20230809;10;debian-cloud;debian-10;X86_64;2023-08-09T17:05:18.585-07:00;;READY
debian-11-bullseye-arm64-v20230809;Debian, Debian GNU/Linux, 11 (bullseye), arm64 built on 20230809;10;debian-cloud;debian-11-arm64;ARM64;2023-08-09T17:05:18.901-07:00;;READY
debian-11-bullseye-v20230809;Debian, Debian GNU/Linux, 11 (bullseye), amd64 built on 20230809;10;debian-cloud;debian-11;X86_64;2023-08-09T17:05:18.800-07:00;;READY
debian-12-bookworm-arm64-v20230809;Debian, Debian GNU/Linux, 12 (bookworm), arm64 built on 20230809;10;debian-cloud;debian-12-arm64;ARM64;2023-08-09T17:05:18.802-07:00;;READY
debian-12-bookworm-v20230809;Debian, Debian GNU/Linux, 12 (bookworm), amd64 built on 20230809;10;debian-cloud;debian-12;X86_64;2023-08-09T17:05:18.745-07:00;;READY
fedora-cloud-base-gcp-34-1-2-x86-64;Fedora, Fedora Cloud Base 34, v34.20210423.0, x86_64 published on 2021-04-27;10;fedora-cloud;fedora-cloud-34;;2021-05-06T09:33:30.114-07:00;;READY
fedora-cloud-base-gcp-37-1-7-x86-64;Fedora, Fedora Cloud Base 37, 37-20221105.0, x86_64 published on 2022-11-05;10;fedora-cloud;fedora-cloud-37;;2023-03-15T18:26:27.597-07:00;;READY
fedora-cloud-base-gcp-38-1-6-x86-64;Fedora, Fedora Cloud Base 38, 38-20230413.1, x86_64 published on 2023-04-13;10;fedora-cloud;fedora-cloud-38;;2023-04-23T22:33:32.441-07:00;;READY
opensuse-leap-15-4-v20230603-arm64;openSUSE, openSUSE Leap, 15.4 arm64 built on 20230603, supports Shielded VM features;10;opensuse-cloud;opensuse-leap-arm64;ARM64;2023-06-02T19:03:22.471-07:00;;READY
opensuse-leap-15-4-v20230603-x86-64;openSUSE, openSUSE Leap, 15.4 x86_64 built on 20230603, supports Shielded VM features;10;opensuse-cloud;opensuse-leap;X86_64;2023-06-05T01:54:04.586-07:00;;READY
opensuse-leap-15-5-v20230607-arm64;openSUSE, openSUSE Leap, 15.5 arm64 built on 20230607, supports Shielded VM features;10;opensuse-cloud;opensuse-leap-arm64;ARM64;2023-06-07T13:41:55.650-07:00;;READY
opensuse-leap-15-5-v20230607-x86-64;openSUSE, openSUSE Leap, 15.5 x86_64 built on 20230607, supports Shielded VM features;10;opensuse-cloud;opensuse-leap;X86_64;2023-06-07T13:41:19.018-07:00;;READY
rhel-7-v20230809;Red Hat, Red Hat Enterprise Linux, 7, x86_64 built on 20230809;20;rhel-cloud;rhel-7;X86_64;2023-08-09T17:05:19.216-07:00;;READY
rhel-8-v20230809;Red Hat, Red Hat Enterprise Linux, 8, x86_64 built on 20230809;20;rhel-cloud;rhel-8;X86_64;2023-08-09T17:05:19.054-07:00;;READY
rhel-9-arm64-v20230809;Red Hat, Red Hat Enterprise Linux, 9, aarch64 built on 20230809;20;rhel-cloud;rhel-9-arm64;ARM64;2023-08-09T17:05:19.275-07:00;;READY
