NAME;DESCRIPTION;DISK_SIZE_GB;PROJECT;FAMILY;ARCHITECTURE;CREATION;DEPRECATED;STATUS
almalinux-8-v20221206;AlmaLinux, AlmaLinux, 8, x86_64 built on 20221206;20;almalinux-cloud;almalinux-8;X86_64;2022-12-06T13:36:12.761-08:00;;READY
almalinux-9-v20221206;AlmaLinux, AlmaLinux, 9, x86_64 built on 20221206;20;almalinux-cloud;almalinux-9;X86_64;2022-12-06T13:36:12.750-08:00;;READY
freebsd-11-3-stable-amd64-v20190801;;22;freebsd-org-cloud-dev;freebsd-11-3-snap;;2019-07-31T20:58:27.473-07:00;;READY
freebsd-11-3-stable-amd64-v20191212;;22;freebsd-org-cloud-dev;freebsd-11-3-snap;;2019-12-11T21:49:20.364-08:00;;READY
freebsd-11-3-stable-amd64-v20191219;;22;freebsd-org-cloud-dev;freebsd-11-3-snap;;2019-12-18T21:49:10.295-08:00;;READY
freebsd-11-3-stable-amd64-v20191226;;22;freebsd-org-cloud-dev;freebsd-11-3-snap;;2019-12-25T21:50:42.501-08:00;;READY
freebsd-11-3-stable-amd64-v20200102;;22;freebsd-org-cloud-dev;freebsd-11-3-snap;;2020-01-01T21:51:03.655-08:00;;READY
freebsd-11-3-stable-amd64-v20200109;;22;freebsd-org-cloud-dev;freebsd-11-3-snap;;2020-01-08T21:55:42.856-08:00;;READY
freebsd-11-3-stable-amd64-v20200116;;22;freebsd-org-cloud-dev;freebsd-11-3-snap;;2020-01-15T21:55:46.661-08:00;;READY
freebsd-11-3-stable-amd64-v20200123;;22;freebsd-org-cloud-dev;freebsd-11-3-snap;;2020-01-22T21:43:04.689-08:00;;READY
freebsd-11-3-stable-amd64-v20200130;;22;freebsd-org-cloud-dev;freebsd-11-3-snap;;2020-01-29T21:50:27.134-08:00;;READY
freebsd-11-3-stable-amd64-v20200206;;22;freebsd-org-cloud-dev;freebsd-11-3-snap;;2020-02-05T21:51:42.676-08:00;;READY
freebsd-11-3-stable-amd64-v20200213;;22;freebsd-org-cloud-dev;freebsd-11-3-snap;;2020-02-12T21:58:30.183-08:00;;READY
freebsd-11-3-stable-amd64-v20200220;;22;freebsd-org-cloud-dev;freebsd-11-3-snap;;2020-02-19T21:56:32.917-08:00;;READY
freebsd-11-3-stable-amd64-v20200227;;22;freebsd-org-cloud-dev;freebsd-11-3-snap;;2020-02-26T21:21:17.403-08:00;;READY
freebsd-11-3-stable-amd64-v20200312;;22;freebsd-org-cloud-dev;freebsd-11-3-snap;;2020-03-11T22:36:42.643-07:00;;READY
freebsd-11-3-stable-amd64-v20200319;;22;freebsd-org-cloud-dev;freebsd-11-3-snap;;2020-03-18T22:35:23.560-07:00;;READY
