NAME;CPUS;SHARED_CPU;MEMORY_GB;DEPRECATED;ZONE
a2-highgpu-1g;12;False;85.00;;
a2-highgpu-2g;24;False;170.00;;
a2-highgpu-4g;48;False;340.00;;
a2-highgpu-8g;96;False;680.00;;
a2-megagpu-16g;96;False;1360.00;;
a2-ultragpu-1g;12;False;170.00;;
a2-ultragpu-2g;24;False;340.00;;
a2-ultragpu-4g;48;False;680.00;;
a2-ultragpu-8g;96;False;1360.00;;
a3-edgegpu-8g-nolssd;208;False;1872.00;;
a3-edgegpu-8g;208;False;1872.00;;
a3-highgpu-1g;26;False;234.00;;
a3-highgpu-2g;52;False;468.00;;
a3-highgpu-4g;104;False;936.00;;
a3-highgpu-8g;208;False;1872.00;;
a3-megagpu-8g;208;False;1872.00;;
a3-ultragpu-8g-nolssd;224;False;2952.00;;
a3-ultragpu-8g;224;False;2952.00;;
a4-highgpu-8g;224;False;3968.00;;
c2-standard-16;16;False;64.00;;
c2-standard-30;30;False;120.00;;
c2-standard-4;4;False;16.00;;
c2-standard-60;60;False;240.00;;
c2-standard-8;8;False;32.00;;
c2d-highcpu-112;112;False;224.00;;
c2d-highcpu-16;16;False;32.00;;
c2d-highcpu-2;2;False;4.00;;
c2d-highcpu-32;32;False;64.00;;
c2d-highcpu-4;4;False;8.00;;
c2d-highcpu-56;56;False;112.00;;
c2d-highcpu-8;8;False;16.00;;
c2d-highmem-112;112;False;896.00;;
c2d-highmem-16;16;False;128.00;;
c2d-highmem-2;2;False;16.00;;
c2d-highmem-32;32;False;256.00;;
c2d-highmem-4;4;False;32.00;;
c2d-highmem-56;56;False;448.00;;
c2d-highmem-8;8;False;64.00;;
c2d-standard-112;112;False;448.00;;
c2d-standard-16;16;False;64.00;;
c2d-standard-2;2;False;8.00;;
c2d-standard-32;32;False;128.00;;
c2d-standard-4;4;False;16.00;;
c2d-standard-56;56;False;224.00;;
c2d-standard-8;8;False;32.00;;
c3-highcpu-176;176;False;352.00;;
c3-highcpu-192-metal;192;False;512.00;;
c3-highcpu-22;22;False;44.00;;
c3-highcpu-44;44;False;88.00;;
c3-highcpu-4;4;False;8.00;;
c3-highcpu-88;88;False;176.00;;
c3-highcpu-8;8;False;16.00;;
c3-highmem-176;176;False;1408.00;;
c3-highmem-192-metal;192;False;1536.00;;
c3-highmem-22;22;False;176.00;;
c3-highmem-44;44;False;352.00;;
c3-highmem-4;4;False;32.00;;
c3-highmem-88;88;False;704.00;;
c3-highmem-8;8;False;64.00;;
c3-standard-176-lssd;176;False;704.00;;
c3-standard-176;176;False;704.00;;
c3-standard-192-metal;192;False;768.00;;
c3-standard-22-lssd;22;False;88.00;;
c3-standard-22;22;False;88.00;;
c3-standard-4-lssd;4;False;16.00;;
c3-standard-44-lssd;44;False;176.00;;
c3-standard-44;44;False;176.00;;
c3-standard-4;4;False;16.00;;
c3-standard-8-lssd;8;False;32.00;;
c3-standard-88-lssd;88;False;352.00;;
c3-standard-88;88;False;352.00;;
c3-standard-8;8;False;32.00;;
c3d-highcpu-16;16;False;32.00;;
c3d-highcpu-180;180;False;354.00;;
c3d-highcpu-30;30;False;59.00;;
c3d-highcpu-360;360;False;708.00;;
c3d-highcpu-4;4;False;8.00;;
c3d-highcpu-60;60;False;118.00;;
c3d-highcpu-8;8;False;16.00;;
c3d-highcpu-90;90;False;177.00;;
c3d-highmem-16-lssd;16;False;128.00;;
c3d-highmem-16;16;False;128.00;;
c3d-highmem-180-lssd;180;False;1440.00;;
c3d-highmem-180;180;False;1440.00;;
c3d-highmem-30-lssd;30;False;240.00;;
c3d-highmem-30;30;False;240.00;;
c3d-highmem-360-lssd;360;False;2880.00;;
c3d-highmem-360;360;False;2880.00;;
c3d-highmem-4;4;False;32.00;;
c3d-highmem-60-lssd;60;False;480.00;;
c3d-highmem-60;60;False;480.00;;
c3d-highmem-8-lssd;8;False;64.00;;
c3d-highmem-8;8;False;64.00;;
c3d-highmem-90-lssd;90;False;720.00;;
c3d-highmem-90;90;False;720.00;;
c3d-standard-16-lssd;16;False;64.00;;
c3d-standard-16;16;False;64.00;;
c3d-standard-180-lssd;180;False;720.00;;
c3d-standard-180;180;False;720.00;;
c3d-standard-30-lssd;30;False;120.00;;
c3d-standard-30;30;False;120.00;;
c3d-standard-360-lssd;360;False;1440.00;;
c3d-standard-360;360;False;1440.00;;
c3d-standard-4;4;False;16.00;;
c3d-standard-60-lssd;60;False;240.00;;
c3d-standard-60;60;False;240.00;;
c3d-standard-8-lssd;8;False;32.00;;
c3d-standard-8;8;False;32.00;;
c3d-standard-90-lssd;90;False;360.00;;
c3d-standard-90;90;False;360.00;;
c4-highcpu-16;16;False;32.00;;
c4-highcpu-192;192;False;384.00;;
c4-highcpu-24;24;False;48.00;;
c4-highcpu-2;2;False;4.00;;
c4-highcpu-32;32;False;64.00;;
c4-highcpu-48;48;False;96.00;;
c4-highcpu-4;4;False;8.00;;
c4-highcpu-8;8;False;16.00;;
c4-highcpu-96;96;False;192.00;;
c4-highmem-16;16;False;124.00;;
c4-highmem-192;192;False;1488.00;;
c4-highmem-24-lssd;24;False;186.00;;
c4-highmem-24;24;False;186.00;;
c4-highmem-2;2;False;15.00;;
c4-highmem-32;32;False;248.00;;
c4-highmem-48;48;False;372.00;;
c4-highmem-4;4;False;31.00;;
c4-highmem-8;8;False;62.00;;
c4-highmem-96;96;False;744.00;;
c4-standard-16;16;False;60.00;;
c4-standard-192;192;False;720.00;;
c4-standard-24-lssd;24;False;90.00;;
c4-standard-24;24;False;90.00;;
c4-standard-2;2;False;7.00;;
c4-standard-32;32;False;120.00;;
c4-standard-48;48;False;180.00;;
c4-standard-4;4;False;15.00;;
c4-standard-8;8;False;30.00;;
c4-standard-96;96;False;360.00;;
c4a-highcpu-16;16;False;32.00;;
c4a-highcpu-1;1;False;2.00;;
c4a-highcpu-2;2;False;4.00;;
c4a-highcpu-32;32;False;64.00;;
c4a-highcpu-48;48;False;96.00;;
c4a-highcpu-4;4;False;8.00;;
